Room,DistToPlayer,LineOfSight,DistToWall,TimeInAction,SameRoom,DistToPatrol,AngleToPlayer,PlayerSpeed,Action
2,340.90,0,32.14,2.01,0,142.06,-176.05,32.33,PATROL
2,339.54,0,31.45,2.03,0,141.37,-176.05,32.43,PATROL
2,338.22,0,30.85,2.05,0,140.75,-176.04,32.52,PATROL
2,336.90,0,30.20,2.07,0,140.10,-176.03,32.58,PATROL
2,336.46,0,30.46,2.09,0,140.28,-175.96,32.62,PATROL
2,335.22,0,29.85,2.11,0,139.66,-175.96,32.64,PATROL
2,334.79,0,30.10,2.13,0,139.84,-175.89,32.64,PATROL
2,334.37,0,30.37,2.15,0,140.02,-175.82,32.63,PATROL
2,333.93,0,30.64,2.17,0,140.21,-175.76,32.77,PATROL
2,332.58,0,30.04,2.20,0,139.60,-175.75,32.93,PATROL
2,332.10,0,30.36,2.22,0,139.82,-175.67,33.08,PATROL
2,331.71,0,30.67,2.24,0,140.03,-175.60,33.21,PATROL
2,331.25,0,30.95,2.26,0,140.21,-175.53,33.35,PATROL
2,329.91,0,30.35,2.28,0,139.60,-175.52,33.49,PATROL
2,329.45,0,30.67,2.30,0,139.80,-175.44,33.62,PATROL
2,329.01,0,30.98,2.32,0,140.01,-175.37,33.75,PATROL
2,328.43,0,31.29,2.35,0,140.21,-175.30,33.89,PATROL
2,327.04,0,30.59,2.37,0,139.48,-175.29,34.01,PATROL
2,326.60,0,30.89,2.39,0,139.67,-175.22,34.12,PATROL
2,326.12,0,31.19,2.41,0,139.87,-175.15,34.24,PATROL
2,325.58,0,31.51,2.43,0,140.07,-175.08,34.36,PATROL
2,324.17,0,30.86,2.45,0,139.39,-175.06,34.48,PATROL
2,323.70,0,31.20,2.47,0,139.60,-174.99,34.59,PATROL
2,323.10,0,31.52,2.49,0,139.81,-174.91,34.72,PATROL
2,322.20,0,31.46,2.51,0,139.56,-174.82,34.82,PATROL
2,321.20,0,31.41,2.54,0,139.37,-174.74,34.94,PATROL
2,320.21,0,31.35,2.56,0,139.13,-174.64,35.05,PATROL
2,319.20,0,31.31,2.59,0,138.91,-174.55,35.15,PATROL
2,318.27,0,31.28,2.61,0,138.68,-174.46,35.22,PATROL
2,317.15,0,31.25,2.63,0,138.48,-174.37,35.27,PATROL
2,315.79,0,31.23,2.67,0,138.22,-174.26,35.30,PATROL
2,314.62,0,31.21,2.69,0,137.92,-174.13,35.28,PATROL
2,313.60,0,31.21,2.71,0,137.67,-174.02,35.39,PATROL
2,312.55,0,31.22,2.74,0,137.46,-173.93,35.50,PATROL
